Outlet_ID,Distributor_ID,Outlet_Type,Outlet_Size,Cooler_Count,constraint_flag,volume_cv,historical_max_volume,Maximum_Monthly_Liters,incremental_volume,Trade_Spend_LKR,Spend_Type
OUT_02962,DIST_W_03,Eatery,Extra Large,5,0,0.706,360,3004,2644,10090.38,promotional
OUT_05355,DIST_W_03,Grocery,Extra Large,5,0,0.746,381,2912,2530,9658.48,discount
OUT_05453,DIST_W_01,Hotel,Extra Large,3,0,0.764,382,2854,2472,9436.9,promotional
OUT_02950,DIST_W_01,Hotel,Extra Large,5,0,0.732,355,2773,2417,9228.34,promotional
OUT_06321,DIST_W_01,Eatery,Extra Large,4,0,0.733,384,2747,2363,9018.98,promotional
OUT_08304,DIST_W_02,SMMT,Extra Large,2,0,0.74,372,2631,2258,8620.15,merchandising
OUT_05470,DIST_W_01,SMMT,Extra Large,4,0,0.736,383,2590,2206,8422.51,merchandising
OUT_00815,DIST_W_01,Eatery,Extra Large,2,0,0.726,357,2540,2183,8332.06,promotional
OUT_02152,DIST_W_01,Pharmacy,Extra Large,4,0,0.735,384,2415,2030,7749.68,merchandising
OUT_06093,DIST_W_02,Kiosk,Extra Large,5,0,0.717,377,2366,1988,7590.38,merchandising
OUT_00619,DIST_W_03,Grocery,Extra Large,4,0,0.733,385,2373,1988,7588.26,discount
OUT_03635,DIST_W_01,Kiosk,Extra Large,5,0,0.723,384,2346,1961,7488.09,merchandising
OUT_01640,DIST_W_02,Kiosk,Extra Large,2,0,0.714,383,2328,1945,7423.38,merchandising
OUT_08676,DIST_W_02,Grocery,Extra Large,2,0,0.737,382,2326,1943,7419.05,discount
OUT_03786,DIST_W_03,SMMT,Extra Large,4,0,0.698,346,2286,1939,7404.0,merchandising
OUT_07285,DIST_W_03,Grocery,Extra Large,4,0,0.745,380,2311,1930,7368.84,discount
OUT_07408,DIST_W_01,Pharmacy,Extra Large,4,0,0.722,360,2255,1894,7230.1,merchandising
OUT_03381,DIST_W_02,Hotel,Extra Large,5,0,0.717,355,2234,1878,7170.55,promotional
OUT_07177,DIST_W_01,Kiosk,Extra Large,2,0,0.696,369,2237,1868,7131.5,merchandising
OUT_04819,DIST_W_01,SMMT,Extra Large,4,0,0.73,348,2203,1854,7076.44,merchandising
OUT_03229,DIST_W_02,Hotel,Extra Large,3,0,0.721,368,2204,1835,7006.83,promotional
OUT_01528,DIST_W_03,Pharmacy,Extra Large,5,0,0.692,347,2178,1830,6987.04,merchandising
OUT_04500,DIST_W_03,SMMT,Extra Large,2,0,0.721,371,2201,1829,6983.73,merchandising
OUT_01006,DIST_W_02,Hotel,Extra Large,4,0,0.719,384,2206,1821,6953.66,promotional
OUT_01124,DIST_W_03,Hotel,Extra Large,4,0,0.742,368,2189,1821,6950.09,promotional
OUT_03148,DIST_W_01,Hotel,Extra Large,5,0,0.675,290,2108,1817,6937.91,promotional
OUT_00996,DIST_W_02,Hotel,Extra Large,3,0,0.734,374,2187,1812,6919.44,promotional
OUT_08651,DIST_W_02,Pharmacy,Extra Large,5,0,0.744,366,2179,1812,6917.83,merchandising
OUT_03484,DIST_W_03,Bakery,Extra Large,4,0,0.692,363,2159,1796,6854.84,promotional
OUT_08484,DIST_W_03,Bakery,Extra Large,2,0,0.764,359,2150,1791,6835.93,promotional
OUT_03885,DIST_W_02,SMMT,Extra Large,2,0,0.723,378,2169,1791,6835.69,merchandising
OUT_04260,DIST_W_03,SMMT,Extra Large,5,0,0.692,311,2101,1790,6834.45,merchandising
OUT_07161,DIST_W_01,Kiosk,Extra Large,5,0,0.729,382,2169,1786,6816.95,merchandising
OUT_06033,DIST_W_01,Eatery,Extra Large,4,0,0.687,318,2103,1785,6813.29,promotional
OUT_04812,DIST_W_01,Eatery,Extra Large,5,0,0.723,386,2167,1781,6797.98,promotional
OUT_03402,DIST_W_03,Kiosk,Extra Large,4,0,0.711,361,2138,1776,6780.35,merchandising
OUT_03559,DIST_W_03,Grocery,Extra Large,4,0,0.688,321,2097,1775,6777.24,discount
OUT_01595,DIST_W_01,Grocery,Extra Large,5,0,0.742,380,2154,1774,6771.65,discount
OUT_04206,DIST_W_02,Grocery,Extra Large,3,0,0.684,326,2099,1773,6768.39,discount
OUT_04835,DIST_W_01,Hotel,Extra Large,5,0,0.738,354,2128,1773,6768.18,promotional
OUT_07519,DIST_W_02,Bakery,Extra Large,5,0,0.727,377,2149,1772,6763.94,promotional
OUT_00742,DIST_W_02,Bakery,Extra Large,5,0,0.704,362,2133,1771,6759.81,promotional
OUT_03866,DIST_W_01,Hotel,Extra Large,4,0,0.693,375,2145,1770,6756.01,promotional
OUT_00856,DIST_W_01,Pharmacy,Extra Large,2,0,0.677,310,2080,1770,6755.96,merchandising
OUT_08660,DIST_W_01,Hotel,Extra Large,3,0,0.737,379,2147,1767,6747.56,promotional
OUT_08827,DIST_W_02,Kiosk,Extra Large,5,0,0.725,362,2130,1767,6746.65,merchandising
OUT_06210,DIST_W_03,Hotel,Extra Large,5,0,0.701,357,2124,1766,6740.8,promotional
OUT_02617,DIST_W_01,Bakery,Extra Large,3,0,0.715,332,2098,1765,6739.31,promotional
OUT_07492,DIST_W_02,Pharmacy,Extra Large,5,0,0.705,358,2119,1760,6719.86,merchandising
OUT_08218,DIST_W_03,Eatery,Extra Large,2,0,0.739,384,2142,1758,6710.46,promotional
OUT_07089,DIST_W_03,Grocery,Extra Large,4,0,0.689,305,2062,1756,6705.35,discount
OUT_02755,DIST_W_02,Eatery,Extra Large,3,0,0.736,379,2134,1755,6699.85,promotional
OUT_05250,DIST_W_03,Kiosk,Extra Large,5,0,0.698,369,2121,1751,6684.11,merchandising
OUT_01152,DIST_W_02,Eatery,Extra Large,2,0,0.726,369,2120,1750,6681.53,promotional
OUT_04171,DIST_W_01,Kiosk,Extra Large,2,0,0.745,376,2126,1750,6680.08,merchandising
OUT_02721,DIST_W_02,SMMT,Extra Large,5,0,0.716,373,2120,1747,6671.21,merchandising
OUT_03983,DIST_W_03,Pharmacy,Extra Large,2,0,0.728,379,2126,1746,6665.9,merchandising
OUT_05936,DIST_W_03,SMMT,Extra Large,2,0,0.736,384,2130,1745,6661.71,merchandising
OUT_07639,DIST_W_02,Eatery,Extra Large,5,0,0.716,369,2110,1740,6643.36,promotional
OUT_05387,DIST_W_02,Bakery,Extra Large,5,0,0.725,357,2098,1740,6643.09,promotional
OUT_02373,DIST_W_01,Kiosk,Extra Large,5,0,0.685,326,2065,1739,6639.83,merchandising
OUT_06940,DIST_W_02,Bakery,Extra Large,4,0,0.733,360,2099,1739,6638.61,promotional
OUT_01821,DIST_W_02,Hotel,Extra Large,3,0,0.669,336,2075,1739,6637.79,promotional
OUT_07388,DIST_W_01,Grocery,Extra Large,4,0,0.708,384,2123,1739,6637.24,discount
OUT_02190,DIST_W_01,Eatery,Extra Large,3,0,0.705,365,2102,1737,6632.08,promotional
OUT_05825,DIST_W_01,Eatery,Extra Large,4,0,0.699,373,2107,1734,6620.39,promotional
OUT_05727,DIST_W_03,Grocery,Extra Large,3,0,0.709,338,2072,1734,6619.01,discount
OUT_02860,DIST_W_02,Grocery,Extra Large,3,0,0.723,370,2102,1732,6610.54,discount
OUT_04136,DIST_W_03,Pharmacy,Extra Large,5,0,0.704,372,2104,1732,6610.46,merchandising
OUT_01241,DIST_W_03,SMMT,Extra Large,4,0,0.721,368,2099,1731,6608.64,merchandising
OUT_08296,DIST_W_02,Grocery,Extra Large,5,0,0.719,363,2093,1730,6604.93,discount
OUT_08995,DIST_W_03,SMMT,Extra Large,5,0,0.716,377,2107,1730,6604.48,merchandising
